Participant,TOI,Count,Correct_Number,Correct_Percentage,Sign_Error
MP10,1,19,19,100,0
MP10,2,6,6,100,0
MP10,5,3,3,100,0
MP10,7,4,4,100,0
MP10,8,3,3,100,0
MP10,9,4,3,75,0
MP10,10,3,2,66.66666667,0
MP10,12,1,0,0,0
MP10,13,2,1,50,0
MP11,1,19,19,100,0
MP11,2,9,8,88.88888889,0
MP11,5,4,2,50,0
MP11,7,7,7,100,0
MP11,8,4,2,50,0
MP11,9,5,3,60,0
MP11,10,7,6,85.71428571,0
MP11,12,4,1,25,0
MP11,13,2,1,50,0
MP12,1,9,9,100,0
MP12,2,5,5,100,0
MP12,5,2,2,100,0
MP12,7,2,2,100,0
MP12,8,2,0,0,0
MP12,9,1,0,0,0
MP12,10,7,3,42.85714286,0
MP12,12,2,2,100,0
MP12,13,4,3,75,0
MP13,1,16,16,100,0
MP13,2,14,14,100,0
MP13,5,4,4,100,0
MP13,7,8,8,100,0
MP13,8,5,4,80,1
MP13,9,5,5,100,0
MP13,10,1,1,100,0
MP13,12,2,2,100,0
MP13,13,1,1,100,0
MP14,1,15,14,93.33333333,0
MP14,2,11,10,90.90909091,0
MP14,5,4,2,50,2
MP14,7,6,5,83.33333333,1
MP14,8,6,3,50,2
MP14,9,3,1,33.33333333,1
MP14,10,5,5,100,0
MP14,12,3,1,33.33333333,0
MP14,13,1,1,100,0
MP15,1,19,19,100,0
MP15,2,7,6,85.71428571,0
MP15,5,3,2,66.66666667,0
MP15,7,6,6,100,0
MP15,8,3,2,66.66666667,0
MP15,9,2,1,50,0
MP15,10,3,2,66.66666667,0
MP15,12,2,1,50,0
MP15,13,2,0,0,0
MP16,1,15,15,100,0
MP16,2,8,8,100,0
MP16,5,4,4,100,0
MP16,7,5,5,100,0
MP16,8,3,3,100,0
MP16,9,3,3,100,0
MP16,10,5,5,100,0
MP16,12,2,2,100,0
MP16,13,3,3,100,0
MP17,1,13,13,100,0
MP17,2,6,5,83.33333333,1
MP17,5,2,2,100,0
MP17,7,4,3,75,0
MP17,8,3,3,100,0
MP17,9,2,2,100,0
MP17,10,2,2,100,0
MP17,12,2,2,100,0
MP17,13,2,2,100,0
MP18,1,24,23,95.83333333,1
MP18,2,14,13,92.85714286,0
MP18,5,4,3,75,0
MP18,7,7,6,85.71428571,0
MP18,8,6,5,83.33333333,0
MP18,9,6,5,83.33333333,0
MP18,10,3,2,66.66666667,0
MP18,12,3,3,100,0
MP18,13,2,2,100,0
MP19,1,14,14,100,0
MP19,2,11,9,81.81818182,0
MP19,5,5,4,80,0
MP19,7,5,4,80,0
MP19,8,3,3,100,0
MP19,9,4,3,75,0
MP19,10,6,5,83.33333333,0
MP19,12,3,1,33.33333333,0
MP19,13,2,1,50,0
MP2,1,20,20,100,0
MP2,2,7,7,100,0
MP2,5,4,4,100,0
MP2,7,5,5,100,0
MP2,8,3,3,100,0
MP2,9,4,4,100,0
MP2,10,6,6,100,0
MP2,12,4,4,100,0
MP2,13,2,2,100,0
MP20,1,19,19,100,0
MP20,2,11,11,100,0
MP20,5,4,4,100,0
MP20,7,4,2,50,0
MP20,8,3,3,100,0
MP20,9,4,3,75,0
MP20,10,7,7,100,0
MP20,12,3,2,66.66666667,0
MP20,13,3,3,100,0
MP21,1,23,23,100,0
MP21,2,12,11,91.66666667,0
MP21,5,1,1,100,0
MP21,7,2,2,100,0
MP21,8,2,1,50,0
MP21,9,2,1,50,0
MP21,10,2,2,100,0
MP21,12,2,2,100,0
MP21,13,1,0,0,0
MP22,1,18,17,94.44444444,0
MP22,2,10,10,100,0
MP22,5,2,1,50,0
MP22,7,4,4,100,0
MP22,8,4,4,100,0
MP22,9,2,0,0,0
MP22,10,4,4,100,0
MP22,12,2,1,50,0
MP22,13,1,0,0,0
MP23,1,20,20,100,0
MP23,2,13,13,100,0
MP23,5,4,4,100,0
MP23,7,5,5,100,0
MP23,8,6,5,83.33333333,0
MP23,9,5,5,100,0
MP23,10,5,5,100,0
MP23,12,4,3,75,0
MP23,13,2,1,50,0
MP24,1,19,19,100,0
MP24,2,11,11,100,0
MP24,5,3,3,100,0
MP24,7,7,7,100,0
MP24,8,7,7,100,0
MP24,9,5,5,100,0
MP24,10,8,8,100,0
MP24,12,5,5,100,0
MP24,13,4,3,75,0
MP25,1,18,18,100,0
MP25,2,11,9,81.81818182,0
MP25,5,1,1,100,0
MP25,7,2,2,100,0
MP25,8,2,2,100,0
MP25,9,2,1,50,0
MP25,10,3,3,100,0
MP25,12,1,1,100,0
MP25,13,1,0,0,0
MP26,1,9,9,100,0
