Participant,Strategy,TOI,StageNumber,#Digits,#CarriesPlace,#CarriesPlace,InterimDuring_Avg,InterimAfter_Avg,InterimSum_Avg,InterimDuring_tot,InterimAfter_tot,InterimSum_tot,Average_duration_of_whole_fixations,Number_of_whole_fixations,Average_whole_fixation_pupil_diameter,Number_of_saccades,Average_peak_velocity_of_saccades,Average_amplitude_of_saccades,Mental Demand,Physical Demand,Temporal Demand,Performance,Effort,Frustration,RelaAlpha,RelaBeta,RelaTheta,RelaDelta
MP10,2,1,1,2&1,0,0,0,2,2,0,2,2,744,5,4.13085,8,106.7,2.27,3,1,2,2,3,1,-77.33983058,20.74438687,31.63837487,25.95706884
MP10,2,2,2,2&1,1,1,1,3,4,2,6,8,1103,12,4.14223,6,111.4,1.75,11,1,4,11,12,1,0.597665893,-0.011832536,0.043219098,0.370947546
MP10,2,3,3,1*1&1*1 (1),0,0,1.67,2.33,4,5,7,12,649,27,4.06724,24,153.81,4.75,8,1,4,8,8,1,0.475085539,-0.035793754,0.066412717,0.494295498
MP10,2,4,4,1*1&1*1 (1),1,1,1.5,3.25,4.75,6,13,19,575,13,4.24756,11,161.17,5.39,8,1,2,8,8,1,0.391435002,-0.003464241,0.109246959,0.502782279
MP10,2,5,3,3&2,1,1 (tens carrying),2,3.67,5.67,6,11,17,480,39,4.05711,38,133.9,4.26,11,1,4,12,13,1,0.346542468,0.022614406,0.105922596,0.52492053
MP10,2,6,4,1*1&1*1 (2),0,0,2,3.5,5.5,8,14,22,551,21,4.29668,10,155.97,5.91,15,1,2,13,13,4,0.422054928,-0.000338073,0.07494075,0.503342395
MP10,2,7,3,2&2,1,1,2,3,5,6,12,18,465,25,3.9968,21,132.74,3.49,10,1,3,10,9,1,0.391407445,-0.004164379,0.069117451,0.543639483
MP10,2,8,3,3&2,1,1 (units carrying),2,4.33,6.33,6,13,19,515,29,4.01188,36,133.52,4.42,8,1,3,10,10,1,0.587006098,-0.059261045,-0.036016417,0.508271363
MP10,2,9,3,3&2,1,1 (units carrying),2,4.33,6.33,6,13,19,1313,6,4.10953,4,104.16,2.36,12,1,2,12,15,2,0.66073582,-0.032580161,-0.031780209,0.40362455
MP10,2,10,3,2&2,2,2,1.67,5,6.67,8,15,23,480,45,4.01124,39,147.9,5.33,10,1,8,8,10,1,0.550821242,-0.015083483,0.045616089,0.418646153
